"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"100048986",0,0.0677966101694916,0.0266343825665863,-0.128329297820823,-0.49636803874092,-0.772397094430992,-0.869249394673123,-0.932203389830508
"100887846",0,0.207855973813421,-0.0883797054009821,0.27823240589198,-0.18657937806874,0.551554828150573,0.238952536824877,0.81342062193126
"100887856",0,0.12468671679198,0.0601503759398496,0.18483709273183,0.238721804511278,0.149122807017544,1,0.104636591478697
"100887880",0,-0.160092807424594,-0.0835266821345708,-0.178654292343388,-0.276102088167054,-0.373549883990719,-0.707656612529003,0.292343387470997
"100887930",0,-0.0989159891598915,-0.424119241192412,0.0785907859078591,-0.134146341463415,0.575880758807588,-0.0203252032520325,0.326558265582656
"100887936",0,0.326110509209101,0.13759479956663,-0.19068255687974,0.13759479956663,0.140845070422535,0.80931744312026,0.52762730227519
"100887940",0,-0.390697674418605,-0.034108527131783,-0.175193798449612,-0.124031007751938,0.00310077519379845,0.609302325581395,0.178294573643411
"100887942",0,0.0298507462686568,0.440298507462686,-0.115671641791045,-0.0410447761194035,-0.126865671641791,-0.559701492537314,-0.507462686567164
"100887959",0,0.100263852242744,0.271767810026385,0.0817941952506597,0.29287598944591,1,0.45910290237467,0.37467018469657
"100888004",0,0.0402010050251257,-0.0904522613065328,-0.0603015075376885,-0.874371859296482,-0.78894472361809,-0.753768844221105,-0.959798994974874
"100888041",0,0.278135048231511,0.432475884244373,0.696141479099679,0.676848874598071,1,0.702572347266881,0.596463022508039
"100888050",0,0.881249999999999,1,0.718749999999999,0.04375,0.8625,0.6875,0.56875
"100888053",0,0.146707909854176,0.0547945205479452,0.147149801148917,1,0.760053026955369,0.150243040212108,0.262483429076447
"100888054",0,-0.276649746192893,-0.807106598984771,-0.83502538071066,-1,-0.126903553299492,-0.185279187817259,-0.398477157360406
"100888079",0,-0.471830985915494,-0.866197183098593,0.0352112676056331,-0.422535211267606,-0.964788732394367,-0.00704225352112755,-0.87323943661972
"100888119",0,0.660961695191524,0.116544417277914,0.279543602281989,0.052159739201304,0.0823145884270579,0.577017114914426,1
"100888150",0,-0.586782861292665,-0.36238198983297,-0.36238198983297,-0.467683369644154,-0.520697167755991,0.413217138707335,0.0762527233115468
"100888152",0,0.662460567823344,0.457413249211356,-0.151419558359622,0.192429022082019,-0.337539432176656,-0.00315457413249212,0.425867507886435
"100888211",0,1,0.148148148148148,0.0432098765432092,0.425925925925926,0.641975308641975,0.0370370370370364,0.376543209876543
"100888242",0,0.314037626628075,0.40520984081042,0.0115774240231549,0.244573082489146,0.48191027496382,1,0.871201157742402
"100888295",0,-0.327142857142857,0.178571428571429,-0.638571428571429,-0.0714285714285715,-0.782857142857143,-0.78,0.217142857142857
"100888309",0,0.563758389261745,0.178970917225951,0.123042505592841,0.149888143176734,0.48993288590604,0.583892617449664,1
"100888336",0,-0.443733333333333,0.000533333333333393,0.1104,-0.0368,-0.0437333333333334,0.556266666666667,-0.0677333333333333
"100888341",0,0.257317073170732,0.375,0.620731707317073,-0.379268292682927,0.154268292682927,-0.182317073170732,-0.282926829268293
"100888374",0,-0.242105263157895,-0.115789473684211,-0.178947368421053,-0.148987854251012,0.732793522267206,-0.236437246963563,-0.267206477732794
"100888397",0,0.388686131386861,0.39963503649635,0.708029197080292,0.273722627737226,0.262773722627737,-0.291970802919708,0.698905109489051
"100888399",0,-0.0331632653061225,0.653061224489796,0.135204081632653,0.844387755102041,0.635204081632653,0.966836734693878,0.880102040816326
"100888408",0,0.00982142857142848,-0.0750000000000001,0.49375,0.0383928571428571,0.129464285714286,-0.399107142857143,-0.50625
"100888421",0,-0.294,-0.296,0.0379999999999998,-0.104,-0.386,-0.588,-0.962
"100888457",0,0.0376470588235295,0.0329411764705883,0.263529411764706,-0.0870588235294116,-0.0117647058823527,0.912941176470588,0.734117647058824
"100888484",0,-0.135314822057098,-0.134923738756355,-0.24168947985921,-0.254204145482988,-0.00195541650371534,-0.151349237387564,0.745795854517012
"100888486",0,-0.306701030927835,0.0502577319587631,-0.155927835051546,-0.402061855670103,0.597938144329897,-0.0889175257731958,-0.108247422680412
