"","GSEA.Mic.m.NM"
"100048986",0.190735351575911
"100887846",0.165939337714833
"100887852",-1.12097114231256
"100887856",-0.971337415009074
"100887858",-0.14618778499008
"100887880",1.08548784909729
"100887892",1.01860192332622
"100887936",0.022742936380101
"100887940",-0.176459655946872
"100887942",-0.0520039904735816
"100887959",-0.149137486724836
"100888004",-0.847699353643369
"100888008",0.0140176483527967
"100888041",-0.0928048964836137
"100888050",-0.861809084086155
"100888054",-0.928083585960769
"100888079",0.242182636395871
"100888112",-0.143846650589023
"100888125",-0.0478784870605651
"100888138",-0.44981963096866
"100888145",-1.09202410731524
"100888152",-0.0351744256221607
"100888169",0.659648356463054
"100888200",-0.116924095455794
"100888211",-0.364588080250919
"100888222",0.763619261985046
"100888242",0.363793233424154
"100888250",-1.03110096983097
"100888272",-1.40568280215192
"100888280",0.246047756355815
"100888284",-0.753423711777588
"100888295",0.582255626481883
"100888309",0.0882889824632803
"100888346",0.00896394502206157
"100888374",-0.151047075153749
"100888379",0.737288959920073
"100888387",0.451500124065907
"100888391",-0.496579837213882
"100888397",-0.324490937153314
"100888399",-0.0971851017293593
"100888402",-0.589140412287732
"100888408",-0.6677220650706
"100888421",-0.654000125477143
"100888431",0.0422208403513135
"100888455",0.927245954385936
"100888457",-0.0210907258223299
"100888477",0.535225114012268
"100888479",-0.113697886774244
"100888482",-0.260912964092267
"100888484",0.000368134172159824
"100888486",-0.534868258295621
"100888488",0.764200026040942
"100888490",0.472058803199398
"100888493",1.27718227467948
"100888501",0.500667503305687
"100888525",-0.189391312110203
"100888546",-0.584627955209827
"100888559",0.125635539186385
"100888568",0.438310584191748
"100888576",0.838592434897798
"100888578",0.700835195375084
"100888619",0.225927339432226
"100888621",-0.875304814548238
"100888636",1.27762497137498
"100888669",-0.382498895867866
"100888685",0.171186179668868
"100888691",-0.021702029664641
"100888701",-0.396198196722977
"100888705",-0.759582413733975
"100888750",-0.114891169538628
"100888771",0.173848997958615
"100888775",-0.350475572762243
"100888786",0.546406508728384
"100888797",-1.13829718201499
"100888848",1.12595040952637
"100888858",0.932802802744367
"100888862",0.407745526313489
"100888888",0.353068390410299
"100888903",0.0810643000938245
"100888908",0.527144157211585
"100888916",-0.205034020820597
"100888918",-0.417193794882726
"100888923",-0.578236881690622
"100888927",0.309408905796688
"100888929",-1.32993977263487
"100888952",0.594389889695648
"100888959",-0.236710345011691
"100888999",-0.800621666459152
"100889010",0.111523438164678
"100889012",-0.463020470240698
"100889016",-0.747592416968593
"100889029",0.330667484322572
"100889031",0.762539505716226
"100889047",-0.136699145055991
"100889048",0.394587503613544
"100889050",0.891730292694193
"100889051",0.484627591696476
"100889054",-0.225876033738572
"100889057",-0.270168663149027
"100889065",-0.750210507027555
"100889068",-0.611255156231289
"100889073",-0.0231039958500709
"100889087",-0.907616099548679
"100889091",0.784976696586161
"100889092",-1.13182104309263
"100889110",1.00936892534682
"100889120",0.553547971528957
"100889127",-0.487524679206579
"100889152",-1.65211746074503
"100889160",-0.143500157532799
"100889163",0.763494952846671
"100889179",0.0265811918370143
"100889186",-0.0195298011591867
"100889207",0.922049740864419
"100889221",1.39305250157633
"100889268",0.330168297890607
"100889288",-0.701312357426917
"100889303",0.428621960564065
"100889310",0.338413249223154
"100889315",-0.761115197062917
"100889317",0.435483678949423
"100889332",0.235603032591233
"100889342",1.02983224547041
"100889351",0.489759258249385
