"","Class.L3","V1"
"1851","CalciumToolkit","ECB-GENEPAGE-23100391"
"1852","Metalloprotease","ECB-GENEPAGE-23065827"
"1853","Immunity_ReceptorNLR","ECB-GENEPAGE-23115642"
"1854","Metalloprotease","ECB-GENEPAGE-23112113"
"1855","Metabolism_AminoAcid","ECB-GENEPAGE-23067950"
"1856","GPCRRhodopsin_All","ECB-GENEPAGE-23115430"
"1857","Nervous_Chemosensory","ECB-GENEPAGE-23115430"
"1858","Immunity_ReceptorNLR","ECB-GENEPAGE-23097203"
"1859","Kinase_Other","ECB-GENEPAGE-23134124"
"1860","CellCycle","ECB-GENEPAGE-23134124"
"1861","Immunity_Coagulation_Coagulation","ECB-GENEPAGE-23126390"
"1862","Kinase_TK","ECB-GENEPAGE-23061672"
"1863","Immunity_Signal","ECB-GENEPAGE-23061672"
"1864","EggActivation","ECB-GENEPAGE-23061672"
"1865","Immunity_ReceptorScavenger","ECB-GENEPAGE-23061685"
"1866","Metabolism_Energy","ECB-GENEPAGE-23155419"
"1867","Metabolism_AminoAcid","ECB-GENEPAGE-23014112"
"1868","TF_Homeo","ECB-GENEPAGE-23140105"
"1869","Nervous_TF","ECB-GENEPAGE-23140105"
"1870","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23145853"
"1871","Apoptosis_Apaf1","ECB-GENEPAGE-23145859"
"1872","Kinase_Other","ECB-GENEPAGE-23136787"
"1873","Metabolism_Lipid","ECB-GENEPAGE-23039326"
"1874","Immunity_ReceptorNLR","ECB-GENEPAGE-23119332"
"1875","Immunity_ReceptorNLR","ECB-GENEPAGE-23037704"
"1876","Immunity_ReceptorScavenger","ECB-GENEPAGE-23156131"
"1877","TF_Homeo","ECB-GENEPAGE-23075911"
"1878","GPCRRhodopsin_All","ECB-GENEPAGE-23047709"
"1879","Nervous_Chemosensory","ECB-GENEPAGE-23047709"
"1880","Immunity_ReceptorOtherPRR","ECB-GENEPAGE-23064063"
"1881","GPCRRhodopsin_All","ECB-GENEPAGE-23069420"
"1882","Nervous_Chemosensory","ECB-GENEPAGE-23192487"
"1883","GPCRRhodopsin_All","ECB-GENEPAGE-23192487"
"1884","Immunity_EffectorComplement","ECB-GENEPAGE-23084585"
"1885","GPCRRhodopsin_All","ECB-GENEPAGE-23091479"
"1886","Nervous_Chemosensory","ECB-GENEPAGE-23091479"
"1887","GPCRRhodopsin_All","ECB-GENEPAGE-23091479"
"1888","Nervous_Chemosensory","ECB-GENEPAGE-23091479"
"1889","Metabolism_Lipid","ECB-GENEPAGE-23156935"
"1890","Adhesion_ReceptorIgFN3","ECB-GENEPAGE-23156924"
"1891","GTPase_Ras_Arf","ECB-GENEPAGE-23094103"
"1892","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23033992"
"1893","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23033997"
"1894","Signaling_Hedgehog","ECB-GENEPAGE-23012855"
"1895","Signaling_Hedgehog","ECB-GENEPAGE-23060444"
"1896","Metabolism_Carbohydrate","ECB-GENEPAGE-23045074"
"1897","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23148664"
"1898","Metabolism_Carbohydrate","ECB-GENEPAGE-23145364"
"1899","Metabolism_InorganicIon","ECB-GENEPAGE-23011304"
"1900","Metabolism_InorganicIon","ECB-GENEPAGE-23083333"
"1901","Metabolism_AminoAcid","ECB-GENEPAGE-23011295"
"1902","Metabolism_AminoAcid","ECB-GENEPAGE-23083320"
"1903","Metabolism_AminoAcid","ECB-GENEPAGE-23011289"
"1904","Immunity_ReceptorScavenger","ECB-GENEPAGE-23109179"
"1905","ZNF","ECB-GENEPAGE-23128937"
"1906","Metabolism_Carbohydrate","ECB-GENEPAGE-23048715"
"1907","Nervous_Chemosensory","ECB-GENEPAGE-23153612"
"1908","Nervous_Retinal","ECB-GENEPAGE-23153612"
"1909","GPCRRhodopsin_Opsin","ECB-GENEPAGE-23153612"
