"","PATHWAY","V1"
"128","spu00590","ECB-GENEPAGE-23036520"
"129","spu00480","ECB-GENEPAGE-23036520"
"130","spu00980","ECB-GENEPAGE-23036520"
"131","spu00982","ECB-GENEPAGE-23036520"
"132","spu01100","ECB-GENEPAGE-23036520"
"133","spu00532","ECB-GENEPAGE-23180662"
"134","spu04120","ECB-GENEPAGE-23124605"
"135","spu00860","ECB-GENEPAGE-23164278"
"136","spu00830","ECB-GENEPAGE-23164278"
"137","spu00053","ECB-GENEPAGE-23164278"
"138","spu01100","ECB-GENEPAGE-23164278"
"139","spu00980","ECB-GENEPAGE-23164278"
"140","spu00982","ECB-GENEPAGE-23164278"
"141","spu01240","ECB-GENEPAGE-23164278"
"142","spu00040","ECB-GENEPAGE-23164278"
"143","spu00983","ECB-GENEPAGE-23164278"
"144","spu00190","ECB-GENEPAGE-23190553"
"145","spu01100","ECB-GENEPAGE-23190553"
"146","spu04070","ECB-GENEPAGE-23046593"
"147","spu04141","ECB-GENEPAGE-23187482"
"148","spu00532","ECB-GENEPAGE-23054986"
"149","spu00510","ECB-GENEPAGE-23116051"
"150","spu00513","ECB-GENEPAGE-23116051"
"151","spu01100","ECB-GENEPAGE-23116051"
"152","spu00533","ECB-GENEPAGE-23116051"
"153","spu04142","ECB-GENEPAGE-23019220"
"154","spu03030","ECB-GENEPAGE-23176728"
"155","spu03060","ECB-GENEPAGE-23045396"
"156","spu04080","ECB-GENEPAGE-23110923"
"157","spu04120","ECB-GENEPAGE-23124590"
"158","spu01100","ECB-GENEPAGE-23150033"
"159","spu00512","ECB-GENEPAGE-23150033"
"160","spu00514","ECB-GENEPAGE-23150033"
"161","spu00534","ECB-GENEPAGE-23067969"
"162","spu03013","ECB-GENEPAGE-23057377"
"163","spu03008","ECB-GENEPAGE-23057377"
"164","spu04137","ECB-GENEPAGE-23171104"
"165","spu03460","ECB-GENEPAGE-23161650"
"166","spu03440","ECB-GENEPAGE-23067962"
"167","spu03460","ECB-GENEPAGE-23067962"
"168","spu04142","ECB-GENEPAGE-23159930"
"169","spu03420","ECB-GENEPAGE-23026243"
"170","spu03430","ECB-GENEPAGE-23026243"
"171","spu03440","ECB-GENEPAGE-23026243"
"172","spu03030","ECB-GENEPAGE-23026243"
"173","spu03410","ECB-GENEPAGE-23026243"
"174","spu01100","ECB-GENEPAGE-23065234"
"175","spu00190","ECB-GENEPAGE-23065234"
"176","spu04080","ECB-GENEPAGE-23102076"
"177","spu04350","ECB-GENEPAGE-23041005"
"178","spu04150","ECB-GENEPAGE-23021655"
"179","spu04310","ECB-GENEPAGE-23021655"
"180","spu04080","ECB-GENEPAGE-23098144"
"181","spu01100","ECB-GENEPAGE-23126159"
"182","spu00860","ECB-GENEPAGE-23126159"
"183","spu00740","ECB-GENEPAGE-23126159"
"184","spu00860","ECB-GENEPAGE-23151463"
"185","spu00980","ECB-GENEPAGE-23151463"
"186","spu00040","ECB-GENEPAGE-23151463"
"187","spu00830","ECB-GENEPAGE-23151463"
"188","spu00053","ECB-GENEPAGE-23151463"
"189","spu00982","ECB-GENEPAGE-23151463"
"190","spu00983","ECB-GENEPAGE-23151463"
"191","spu01240","ECB-GENEPAGE-23151463"
"192","spu01100","ECB-GENEPAGE-23151463"
"193","spu00790","ECB-GENEPAGE-23102183"
"194","spu00980","ECB-GENEPAGE-23102183"
"195","spu01100","ECB-GENEPAGE-23102183"
"196","spu00590","ECB-GENEPAGE-23102183"
"197","spu04080","ECB-GENEPAGE-23057217"
"198","spu04130","ECB-GENEPAGE-23185506"
"199","spu04080","ECB-GENEPAGE-23122970"
"200","spu01100","ECB-GENEPAGE-23123232"
"201","spu00340","ECB-GENEPAGE-23123232"
"202","spu04080","ECB-GENEPAGE-23087728"
"203","spu00534","ECB-GENEPAGE-23166822"
"204","spu04142","ECB-GENEPAGE-23061330"
"205","spu00532","ECB-GENEPAGE-23163899"
"206","spu04142","ECB-GENEPAGE-23147467"
"207","spu00590","ECB-GENEPAGE-23041909"
"208","spu00980","ECB-GENEPAGE-23041909"
"209","spu01100","ECB-GENEPAGE-23041909"
"210","spu00982","ECB-GENEPAGE-23041909"
"211","spu00480","ECB-GENEPAGE-23041909"
"212","spu03018","ECB-GENEPAGE-23079270"
"213","spu00533","ECB-GENEPAGE-23097125"
"214","spu04080","ECB-GENEPAGE-23022580"
"215","spu04120","ECB-GENEPAGE-23139504"
"216","spu00600","ECB-GENEPAGE-23053792"
"217","spu01100","ECB-GENEPAGE-23053792"
"218","spu00565","ECB-GENEPAGE-23053792"
"219","spu04080","ECB-GENEPAGE-23055568"
"220","spu03010","ECB-GENEPAGE-23069028"
"221","spu04512","ECB-GENEPAGE-23098900"
"222","spu04144","ECB-GENEPAGE-23156733"
"223","spu03013","ECB-GENEPAGE-23022622"
"224","spu00230","ECB-GENEPAGE-23049102"
"225","spu01100","ECB-GENEPAGE-23049102"
"226","spu04145","ECB-GENEPAGE-23182356"
"227","spu04080","ECB-GENEPAGE-23190559"
"228","spu03018","ECB-GENEPAGE-23039904"
"229","spu03040","ECB-GENEPAGE-23188679"
"230","spu04146","ECB-GENEPAGE-23191608"
"231","spu00760","ECB-GENEPAGE-23191608"
"232","spu01100","ECB-GENEPAGE-23191608"
"233","spu04080","ECB-GENEPAGE-23094977"
"234","spu04068","ECB-GENEPAGE-23123664"
"235","spu03440","ECB-GENEPAGE-23123664"
"236","spu00590","ECB-GENEPAGE-23110292"
"237","spu00565","ECB-GENEPAGE-23110292"
"238","spu00564","ECB-GENEPAGE-23110292"
"239","spu01100","ECB-GENEPAGE-23110292"
"240","spu00592","ECB-GENEPAGE-23110292"
"241","spu04512","ECB-GENEPAGE-23022538"
"242","spu00340","ECB-GENEPAGE-23141074"
"243","spu01100","ECB-GENEPAGE-23141074"
"244","spu04080","ECB-GENEPAGE-23097933"
"245","spu00514","ECB-GENEPAGE-23098943"
