"","2DG-1","2DG-2","2DG-3","Azide-1","Azide-2","Azide-3","Cer-1","Cer-2","Cer-3","DMSO-1","DMSO-2","DMSO-3"
"Label","2DG","2DG","2DG","Azide","Azide","Azide","Cer","Cer","Cer","DMSO","DMSO","DMSO"
"Tyrosine-3TMS","0.088784640","0.112175977","0.061102637","0.185370446","0.002872399","0.029156341","0.138973896","0.002872399","0.207027661","0.655293127","0.014361994","0.002872399"
"1-Hexadecanol-TMS","1.5660614","3.3721714","2.4327088","0.6250905","1.3888043","1.4130498","0.6400694","2.4171516","2.2713258","1.9559684","0.5203045","3.6358023"
"Palmitoleic acid-TMS","0.6626273","4.5648090","3.3131365","0.6626273","0.6626273","0.6626273","0.6626273","0.6626273","5.2516663","0.6626273","0.6626273","0.6626273"
"Palmitic acid-TMS","0.9749485","2.5778198","1.9084712","0.5806470","1.2257323","1.4773287","0.5591878","1.6261494","2.4605214","2.8772088","0.6915100","2.7520861"
"Margaric acid-TMS","1.3559508","2.5190020","1.7447882","0.5598671","1.1619425","1.2805776","0.4597136","1.6801416","2.7472312","6.8794711","0.6673593","2.8671793"
"Octadecanol-TMS","1.0353341","2.6780778","2.0197815","0.6186086","1.4296530","1.5507437","0.6487195","2.5726712","2.6830523","1.5206461","0.4771699","3.9869675"
"Linoleic acid-TMS","0.7746410","2.9374190","1.8779544","0.6646988","1.1813717","1.6579151","0.5818703","1.2997877","2.7144801","2.2482133","0.7122849","2.4782409"
"Oleic acid-TMS","0.8603443","3.1809872","2.5001264","0.3923816","0.9914140","0.9691065","0.5208926","0.6106806","3.3054600","6.7345424","1.4865526","2.5491820"
"Elaidic acid-TMS","0.07639904","5.01254782","2.85448246","0.07639904","0.07639904","0.64328663","0.38199520","0.07639904","3.47913233","0.07639904","1.81144555","7.25196211"
"Stearic acid-TMS","0.9259928","2.6452492","1.9377230","0.5670812","1.1857206","1.5015216","0.5930923","1.8619299","2.6414311","1.6251000","0.6483638","2.7520706"
"Oleamide-TMS","0.4916828","4.5084581","2.3524388","0.8566106","0.3823697","0.4213519","1.2570408","1.8132560","5.8296248","3.1826947","0.8486538","2.9008612"
"Sucrose-8TMS","0.8912055","1.8190209","1.6951423","0.6573588","1.2953018","1.6622025","0.6040368","2.1640256","1.9711238","1.2526185","0.4460235","2.7030578"
"Docosapentaenoic acid-TMS","0.7052934","1.2703146","1.2529450","0.7157586","1.2715051","1.6213599","0.6322609","1.8369235","1.4702925","0.8707246","0.4413530","2.6824501"
